USUBJID	USUBJID_NUM	FIRST_DOSE_DATE	TREATMENT_GROUP_NUMBER	SEX	TREATMENT_GROUP_DESCRIPTION	STUDY_ID	TIME_DAY	TIME_PLUS_2_DAY	TIME_PLUS_12_DAY	TUMOR_VOLUME_L	TUMOR_MASS_G	DOSE_UMOLEPKG
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	-2	0	10	0.000100489	0.10551345	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	2	4	14	0.000101556	0.1066338	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	6	8	18	0.000158307	0.16622235	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	9	11	21	0.000189821	0.19931205	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	12	14	24	0.000234187	0.24589635	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	15	17	27	0.00022888	0.240324	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	21	23	33	0.000447936	0.4703328	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	23	25	35	0.000553313	0.58097865	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	27	29	39	0.000566617	0.59494785	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	30	32	42	0.000681408	0.7154784	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	34	36	46	0.0007204	0.75642	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	37	39	49	0.000893967	0.93866535	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	41	43	53	0.000856746	0.8995833	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	44	46	56	0.000877874	0.9217677	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	48	50	60	0.001071782	1.1253711	0
1200115_319978	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	51	53	63	0.001060936	1.1139828	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	-2	0	10	7.27E-05	0.076335	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	2	4	14	7.01E-05	0.073605	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	6	8	18	0.000200579	0.21060795	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	9	11	21	0.00018999	0.1994895	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	12	14	24	0.000275184	0.2889432	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	15	17	27	0.000260499	0.27352395	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	21	23	33	0.000436401	0.45822105	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	23	25	35	0.000444051	0.46625355	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	27	29	39	0.00055125	0.5788125	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	30	32	42	0.00053215	0.5587575	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	34	36	46	0.000518837	0.54477885	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	37	39	49	0.000602484	0.6326082	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	41	43	53	0.000610122	0.6406281	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	44	46	56	0.000724655	0.76088775	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	48	50	60	0.000763766	0.8019543	0
1200115_319987	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	51	53	63	0.000837859	0.87975195	0
1200115_319988	1.20012E+12	7/3/2013	1	male	Formulation Buffer	1200115	-2	0	10	9.27E-05	0.097335	0
