EXPERIMENT_GROUP_ID	TREATMENT_GROUP_NUMBER	USUBJID	TUMOR_VOLUME_L	TREATMENT_GROUP_DESCRIPTION	STUDY_ID	TIME_DAY	TIME_PLUS_ONE_DAY	TIME_PLUS_11_DAY	MEASURED_TUMOR_MASS_G	SIMPLE_ANIMAL_ID	SOLAG_NGPML	SOLAG_NANOMOLEPL	SOLAG_DIMERAVIDITY_NANOMOLEPL	ASSUMED_WEIGHT_FOR_SIMBIOLOGY	EQUIVALENT_PAYLOAD_DOSE_UMOLEPKG	AVERAGE_ADC_DAR	TOTAL_ANTIBODY_DOSE_.OMOLE	GAMMA_DIST_K_1	GAMMA_DIST_THETA_1	GAMMA_DIST_K_2	GAMMA_DIST_THETA_2	APPARENT_DAR	DOSE_INFUSION_RATE_.OMOLE_PER_DAY	DOSE_ADC_DAR0_.OMOLE	DOSE_ADC_DAR1_.OMOLE	DOSE_ADC_DAR2_.OMOLE	DOSE_ADC_DAR3_.OMOLE	DOSE_ADC_DAR4_.OMOLE	DOSE_ADC_DAR5_.OMOLE	DOSE_ADC_DAR6_.OMOLE	DOSE_ADC_DAR7_.OMOLE	DOSE_ADC_DAR8_.OMOLE
3	2	338073	9.39E-05	6A4_3MGPKG	1200147	-1	0	10	.	7	7.87	0.19675	0.098375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	2	338073	.	6A4_3MGPKG	1200147	0	1	11	.	7	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
3	2	338073	.	6A4_3MGPKG	1200147	0.208333333	1.208333333	11.20833333	0.1	7	16.67	0.41675	0.208375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	2	338105	0.00013498	6A4_3MGPKG	1200147	-1	0	10	.	8	8.34	0.2085	0.10425	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	2	338105	.	6A4_3MGPKG	1200147	0	1	11	.	8	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
3	2	338105	.	6A4_3MGPKG	1200147	0.208333333	1.208333333	11.20833333	0.064	8	16.42	0.4105	0.20525	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	2	338124	0.00022825	6A4_3MGPKG	1200147	-1	0	10	.	9	17.65	0.44125	0.220625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	2	338124	.	6A4_3MGPKG	1200147	0	1	11	.	9	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
3	2	338124	.	6A4_3MGPKG	1200147	0.208333333	1.208333333	11.20833333	0.145	9	36.33	0.90825	0.454125	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338077	9.39E-05	6A4_3MGPKG	1200147	-1	0	10	.	10	3.77	0.09425	0.047125	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338077	.	6A4_3MGPKG	1200147	0	1	11	.	10	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
4	2	338077	.	6A4_3MGPKG	1200147	1	2	12	0.039	10	19.62	0.4905	0.24525	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338082	0.00021801	6A4_3MGPKG	1200147	-1	0	10	.	11	39.12	0.978	0.489	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338082	.	6A4_3MGPKG	1200147	0	1	11	.	11	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
4	2	338082	.	6A4_3MGPKG	1200147	1	2	12	0.141	11	243.07	6.07675	3.038375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338121	0.00014333	6A4_3MGPKG	1200147	-1	0	10	.	12	4.03	0.10075	0.050375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	2	338121	.	6A4_3MGPKG	1200147	0	1	11	.	12	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
4	2	338121	.	6A4_3MGPKG	1200147	1	2	12	0.052	12	25.24	0.631	0.3155	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338084	0.00011553	6A4_3MGPKG	1200147	-1	0	10	.	31	7.49	0.18725	0.093625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338084	.	6A4_3MGPKG	1200147	0	1	11	.	31	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
11	2	338084	0.00014286	6A4_3MGPKG	1200147	5	6	16	.	31	.	.	.	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338084	.	6A4_3MGPKG	1200147	5	6	16	0.072	31	129.95	3.24875	1.624375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338094	0.00018945	6A4_3MGPKG	1200147	-1	0	10	.	32	11.68	0.292	0.146	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338094	.	6A4_3MGPKG	1200147	0	1	11	.	32	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
11	2	338094	0.00016761	6A4_3MGPKG	1200147	5	6	16	.	32	.	.	.	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338094	.	6A4_3MGPKG	1200147	5	6	16	0.097	32	219.2	5.48	2.74	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338104	0.00014498	6A4_3MGPKG	1200147	-1	0	10	.	33	8.05	0.20125	0.100625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	2	338104	.	6A4_3MGPKG	1200147	0	1	11	.	33	.	.	.	0.0203	0	0	0.406	.	.	.	.	0	3.6	0.406	.	.	.	.	.	.	.	.
11	2	338104	0.00013478	6A4_3MGPKG	1200147	5	6	16	.	33	.	.	.	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
