EXPERIMENT_GROUP_ID	TREATMENT_GROUP_NUMBER	USUBJID	TUMOR_VOLUME_L	TREATMENT_GROUP_DESCRIPTION	STUDY_ID	TIME_DAY	TIME_PLUS_ONE_DAY	TIME_PLUS_11_DAY	MEASURED_TUMOR_MASS_G	SIMPLE_ANIMAL_ID	SOLAG_NGPML	SOLAG_NANOMOLEPL	SOLAG_DIMERAVIDITY_NANOMOLEPL	ASSUMED_WEIGHT_FOR_SIMBIOLOGY	EQUIVALENT_PAYLOAD_DOSE_UMOLEPKG	AVERAGE_ADC_DAR	TOTAL_ANTIBODY_DOSE_.OMOLE	GAMMA_DIST_K_1	GAMMA_DIST_THETA_1	GAMMA_DIST_K_2	GAMMA_DIST_THETA_2	APPARENT_DAR	DOSE_ADC_DAR0_.OMOLE	DOSE_ADC_DAR1_.OMOLE	DOSE_ADC_DAR2_.OMOLE	DOSE_ADC_DAR3_.OMOLE	DOSE_ADC_DAR4_.OMOLE	DOSE_ADC_DAR5_.OMOLE	DOSE_ADC_DAR6_.OMOLE	DOSE_ADC_DAR7_.OMOLE	DOSE_ADC_DAR8_.OMOLE
7	1	338087	0.00010651	Vehicle	1200147	-1	0	10	.	19	12.5	0.3125	0.15625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
7	1	338087	.	Vehicle	1200147	1	2	12	0.071	19	18.05	0.45125	0.225625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
7	1	338106	0.00020765	Vehicle	1200147	-1	0	10	.	20	15.21	0.38025	0.190125	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
7	1	338106	.	Vehicle	1200147	1	2	12	0.031	20	21.02	0.5255	0.26275	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
7	1	338131	0.00014078	Vehicle	1200147	-1	0	10	.	21	9.99	0.24975	0.124875	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
7	1	338131	.	Vehicle	1200147	1	2	12	0.065	21	14.06	0.3515	0.17575	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	1	338075	0.00013933	Vehicle	1200147	-1	0	10	.	22	14.67	0.36675	0.183375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	1	338075	0.00017522	Vehicle	1200147	5	6	16	0.086	22	35.97	0.89925	0.449625	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	1	338079	0.00011082	Vehicle	1200147	-1	0	10	.	23	5.87	0.14675	0.073375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	1	338079	9.83E-05	Vehicle	1200147	5	6	16	0.008	23	17.9	0.4475	0.22375	0.0203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
